mu,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20
0.361234,0.09493668870557534,0.10490571398368076,0.1280478931429699,0.14209865811137357,0.153735564695195,0.16084387124156066,0.1676293317666275,0.1523532003548743,0.16809566110326382,0.1672638466774286,0.16692882147913515,0.15116973623454485,0.16598030301355,0.1636053502443958,0.1641918222363376,0.1472946480848256,0.1647324639116072,0.1630564961909573,0.16183575693092825,0.14665777358353557
0.382749,0.08963396121238512,0.0988013769051061,0.12050916445828952,0.13377674518582128,0.14469362698819538,0.1514068941324897,0.15796507072993704,0.1439771428486527,0.1586442850697123,0.1577662679403281,0.15750125827073183,0.1428655673431403,0.15660057820919243,0.15427721456624222,0.15484951418390913,0.13917783159670383,0.15535560403020768,0.15372871984369924,0.15264764009887893,0.13856896453315595
0.405546,0.08463834077213298,0.09305262323213145,0.1134039867779831,0.12592646770445304,0.1361678521576671,0.14250634292697079,0.14872245370650727,0.13607811192655375,0.1497418753838695,0.1488231407517009,0.1486228034837888,0.13503545933279093,0.1477678061667847,0.14549836411081177,0.1460521272676579,0.13152216806990155,0.1465249740000943,0.14494595312024652,0.1439936422804615,0.13093954606080963
0.4297,0.07994110909034595,0.08765393330692764,0.1067241329031887,0.11853896378703989,0.1281461197009015,0.1341293599213673,0.1399668875979914,0.1286536329307874,0.14137943986669832,0.1404249874223881,0.14028442002378944,0.12767667823587875,0.1394729829313797,0.13725942078214032,0.1377900253954946,0.1243255540540982,0.13823089383689496,0.13669729309464274,0.13586405668308604,0.12376809058910736
0.455294,0.0755164539727603,0.08256991484839875,0.10042827855046635,0.11157086948412377,0.12058199381203732,0.12622859109162823,0.1316895808065047,0.12165555433410136,0.13350437293313322,0.13251829019545142,0.1324338354580346,0.12074146807533574,0.13166388773990925,0.12950602202418202,0.13001170850103816,0.11754061125492506,0.13042173733884277,0.1289307335819147,0.12820698328899235,0.11700675358546711
0.482411,0.07134919889734141,0.07778248971353721,0.09449536866338187,0.10499909370700891,0.11345044217215812,0.11877806846859362,0.12387690440915472,0.11506093590075278,0.12608968211895746,0.12507516378369893,0.12504415379942158,0.11420725025795664,0.1243137049274971,0.12221389591953868,0.12269025811352041,0.11114503645792574,0.12307058603574522,0.12161914994949548,0.1209957275986316,0.11063323097221449
0.511143,0.06742461775787637,0.07327486425727957,0.08890489101627508,0.09880262168234324,0.10672720444968206,0.11175259408243059,0.11650742911825654,0.10884953325131823,0.11910985523456631,0.11806999714893907,0.11809009486203836,0.10805321802729528,0.11739712051109952,0.11535475789293546,0.11580077089986908,0.10511842036549,0.11615234888294791,0.1147369362349418,0.11420490025838212,0.10462738444372277
0.541587,0.06372921636881576,0.06903120862568696,0.08363770670651632,0.09296094962257208,0.100389601148613,0.10512856392502004,0.10955846608006595,0.10300198178821862,0.11254061760554522,0.11147780984146453,0.11154789576514305,0.1022588593609465,0.11089037077935568,0.10890604558584588,0.1093192520293857,0.09944149159060976,0.10964297333635495,0.1082599794146402,0.10781079727481216,0.09896934213023119
0.573844,0.06026073208124411,0.06505198891277283,0.07869227826656644,0.08747103646305325,0.0944334537630248,0.09890116826216284,0.10302502222086839,0.09752468835441469,0.10638060152437406,0.10529817245832854,0.10541879022929758,0.09683208491885929,0.10479464295596505,0.1028660292179117,0.10324620182697677,0.09412252350850259,0.10354277300336864,0.10218700766334446,0.10181329110333472,0.09366785594449721
0.608022,0.0569842889963281,0.06128910425874316,0.07401691597413876,0.08227944798824204,0.08880259568914771,0.09301306186704475,0.09684901394881743,0.09234784481285879,0.10053003889899312,0.09946162440364612,0.09963306017609691,0.0917023006856238,0.09904032970370374,0.09716729874055388,0.09751374119235427,0.08908953539511588,0.09778389144972367,0.0964516025564771,0.09614447186783016,0.08864934362399213
0.644236,0.05391931839687059,0.05777548386760601,0.06963994773857178,0.07741392019705337,0.08352403298918616,0.08749076289869165,0.0910565988032515,0.08752359316267411,0.0946570185209985,0.09400694740541182,0.09423313736202144,0.08692105768490513,0.09366963415333959,0.0918476613114283,0.0921621291267414,0.08439860415518802,0.09240624043601596,0.09109085546045426,0.09084395943394677,0.08397238040575278
0.682607,0.05103205347024492,0.05446382826504324,0.06551282426566528,0.07282406697162881,0.07854516502506168,0.08228062705025149,0.08559315774756632,0.0829850956209596,0.08896404768245328,0.0888661538265204,0.08915339439406868,0.08242068034114086,0.08861703936502996,0.0868428587404141,0.08712737095993836,0.07998059090103729,0.08734564315698615,0.08604217665640201,0.08584758617154842,0.07956544373956331
